10.1007/s00432-005-0032-1	0171-5216
10.1007/s00432-005-0033-0	0171-5216
10.1007/s00432-006-0083-y	0171-5216
10.1007/s00432-006-0099-3	0171-5216
10.1007/s00432-006-0133-5	0171-5216
10.1007/s00432-006-0134-4	0171-5216
10.1007/s00432-006-0148-y	0171-5216
10.1007/s00432-006-0156-y	0171-5216
10.1007/s00432-006-0165-x	0171-5216
10.1007/s00432-007-0316-8	0171-5216
10.1007/s00432-008-0370-x	0171-5216
10.1007/s00432-008-0387-1	0171-5216
10.1007/s00432-008-0471-6	0171-5216
10.1007/s00432-009-0562-z	0171-5216
10.1007/s00432-009-0570-z	0171-5216
10.1007/s00432-009-0584-6	0171-5216
10.1007/s00432-009-0718-x	0171-5216
10.1007/s00432-010-0777-z	0171-5216
10.1007/s00432-010-0795-x	0171-5216
10.1007/s00432-010-0832-9	0171-5216
10.1007/s00432-010-0844-5	0171-5216
10.1007/s00432-010-0873-0	0171-5216
10.1007/s00432-010-0874-z	0171-5216
10.1007/s00432-010-0887-7	0171-5216
10.1007/s00432-010-0898-4	0171-5216
10.1007/s00432-010-0918-4	0171-5216
10.1007/s00432-010-0942-4	0171-5216
10.1007/s00432-010-0947-z	0171-5216
10.1007/s00432-010-0949-x	0171-5216
10.1007/s00432-011-0998-9	0171-5216
10.1007/s00432-011-1000-6	0171-5216
10.1007/s00432-011-1003-3	0171-5216
10.1007/s00432-011-1122-x	0171-5216
10.1007/s00432-012-1261-8	0171-5216
10.1007/s00432-012-1287-y	0171-5216
10.1007/s00432-012-1322-z	0171-5216
10.1007/s00432-012-1324-x	0171-5216
10.1007/s00432-012-1336-6	0171-5216
10.1007/s00432-013-1421-5	0171-5216
10.1007/s00432-013-1510-5	0171-5216
10.1007/s00432-013-1577-z	0171-5216
10.1007/s00432-014-1595-5	0171-5216
10.1007/s00432-014-1831-z	0171-5216
10.1007/s00432-014-1841-x	0171-5216
10.1007/s00432-014-1864-3	0171-5216
10.1007/s00432-015-1917-2	0171-5216
10.1007/s00432-015-2074-3	0171-5216
10.1007/s00432-016-2256-7	0171-5216
10.1007/s00432-017-2439-x	0171-5216
10.1007/s00432-017-2464-9	0171-5216
10.1007/s004320050036	0171-5216
10.1007/s004320050322	0171-5216
10.1007/s004320100235	0171-5216
10.1007/s004320100252	0171-5216
10.1007/s004320100255	0171-5216
10.1007/s004320100265	0171-5216
10.1007/s004320100292	0171-5216
10.1007/s00435-003-0085-0	0720-213X
10.1007/s00435-003-0089-9	0720-213X
10.1007/s00435-004-0100-0	0720-213X
10.1007/s00435-005-0012-7	0720-213X
10.1007/s00435-005-0111-5	0720-213X
10.1007/s00435-007-0030-8	0720-213X
10.1007/s00435-007-0043-3	0720-213X
10.1007/s00435-007-0045-1	0720-213X
10.1007/s00435-008-0079-z	0720-213X
10.1007/s00435-009-0090-z	0720-213X
10.1007/s00435-011-0132-1	0720-213X
10.1007/s00435-011-0133-0	0720-213X
10.1007/s00435-011-0135-y	0720-213X
10.1007/s00435-011-0139-7	0720-213X
10.1007/s00435-011-0142-z	0720-213X
10.1007/s00435-012-0162-3	0720-213X
10.1007/s00435-012-0168-x	0720-213X
10.1007/s00435-012-0169-9	0720-213X
10.1007/s00435-012-0181-0	0720-213X
10.1007/s00435-013-0194-3	0720-213X
10.1007/s00435-014-0245-4	0720-213X
10.1007/s00435-015-0294-3	0720-213X
10.1007/s00435-016-0307-x	0720-213X
10.1007/s00435-016-0316-9	0720-213X
10.1007/s004350000022	0720-213X
10.1007/s004350000028	0720-213X
10.1007/s004350000030	0720-213X
10.1007/s004350050026	0720-213X
10.1007/s004350050028	0720-213X
10.1007/s004350050041	0720-213X
10.1007/s004350050061	0720-213X
10.1007/s004359900018	0720-213X
10.1007/s00436-001-0535-x	0932-0113
10.1007/s00436-001-0543-x	0932-0113
10.1007/s00436-001-0588-x	0932-0113
10.1007/s00436-002-0658-8	0932-0113
10.1007/s00436-002-0660-1	0932-0113
10.1007/s00436-002-0732-2	null
10.1007/s00436-002-0741-1	null
10.1007/s00436-002-0800-7	null
10.1007/s00436-002-0817-y	null
10.1007/s00436-003-0892-8	0932-0113
10.1007/s00436-003-0949-8	0932-0113
10.1007/s00436-003-0995-2	0932-0113
10.1007/s00436-003-1000-9	0932-0113
10.1007/s00436-004-1072-1	0932-0113
10.1007/s00436-004-1079-7	0932-0113
10.1007/s00436-004-1112-x	0932-0113
10.1007/s00436-004-1122-8	0932-0113
10.1007/s00436-004-1166-9	0932-0113
10.1007/s00436-004-1230-5	0932-0113
10.1007/s00436-004-1257-7	0932-0113
10.1007/s00436-005-0003-0	0932-0113
10.1007/s00436-005-0017-7	0932-0113
10.1007/s00436-005-0033-7	0932-0113
10.1007/s00436-005-0040-8	0932-0113
10.1007/s00436-005-0067-x	0932-0113
10.1007/s00436-005-0077-8	0932-0113
10.1007/s00436-005-0104-9	0932-0113
10.1007/s00436-005-0106-7	0932-0113
10.1007/s00436-005-1324-8	0932-0113
10.1007/s00436-005-1343-5	0932-0113
10.1007/s00436-005-1347-1	0932-0113
10.1007/s00436-005-1352-4	0932-0113
10.1007/s00436-005-1358-y	0932-0113
10.1007/s00436-005-1363-1	0932-0113
10.1007/s00436-005-1384-9	0932-0113
10.1007/s00436-005-1390-y	0932-0113
10.1007/s00436-005-1396-5	0932-0113
10.1007/s00436-005-1433-4	0932-0113
10.1007/s00436-005-1438-z	0932-0113
10.1007/s00436-005-1461-0	0932-0113
10.1007/s00436-005-1480-x	0932-0113
10.1007/s00436-006-0139-6	0932-0113
10.1007/s00436-006-0177-0	0932-0113
10.1007/s00436-006-0184-1	0932-0113
10.1007/s00436-006-0192-1	0932-0113
10.1007/s00436-006-0214-z	0932-0113
10.1007/s00436-006-0221-0	0932-0113
10.1007/s00436-006-0234-8	0932-0113
10.1007/s00436-006-0238-4	0932-0113
10.1007/s00436-006-0240-x	0932-0113
10.1007/s00436-006-0264-2	0932-0113
10.1007/s00436-006-0311-z	0932-0113
10.1007/s00436-006-0313-x	0932-0113
10.1007/s00436-006-0371-0	0932-0113
10.1007/s00436-006-0387-5	0932-0113
10.1007/s00436-006-0405-7	0932-0113
10.1007/s00436-006-0435-1	0932-0113
10.1007/s00436-007-0493-z	0932-0113
10.1007/s00436-007-0519-6	0932-0113
10.1007/s00436-007-0540-9	0932-0113
10.1007/s00436-007-0579-7	0932-0113
10.1007/s00436-007-0656-y	0932-0113
10.1007/s00436-007-0659-8	0932-0113
10.1007/s00436-007-0683-8	0932-0113
10.1007/s00436-007-0712-7	0932-0113
10.1007/s00436-007-0727-0	0932-0113
10.1007/s00436-007-0780-8	0932-0113
10.1007/s00436-007-0804-4	0932-0113
10.1007/s00436-007-0833-z	0932-0113
10.1007/s00436-007-0863-6	0932-0113
10.1007/s00436-007-0864-5	0932-0113
10.1007/s00436-008-0879-6	0932-0113
10.1007/s00436-008-0891-x	0932-0113
10.1007/s00436-008-0892-9	0932-0113
10.1007/s00436-008-0895-6	0932-0113
10.1007/s00436-008-0899-2	0932-0113
10.1007/s00436-008-0956-x	0932-0113
10.1007/s00436-008-0965-9	0932-0113
10.1007/s00436-008-0978-4	0932-0113
10.1007/s00436-008-1036-y	0932-0113
10.1007/s00436-008-1118-x	0932-0113
10.1007/s00436-008-1137-7	0932-0113
10.1007/s00436-008-1146-6	0932-0113
10.1007/s00436-008-1153-7	0932-0113
10.1007/s00436-008-1170-6	0932-0113
10.1007/s00436-008-1183-1	0932-0113
10.1007/s00436-008-1207-x	0932-0113
10.1007/s00436-008-1224-9	0932-0113
10.1007/s00436-008-1226-7	0932-0113
10.1007/s00436-008-1263-2	0932-0113
10.1007/s00436-008-1297-5	0932-0113
10.1007/s00436-008-1312-x	0932-0113
10.1007/s00436-009-1371-7	0932-0113
10.1007/s00436-009-1419-8	0932-0113
10.1007/s00436-009-1443-8	0932-0113
10.1007/s00436-009-1482-1	0932-0113
10.1007/s00436-009-1524-8	0932-0113
10.1007/s00436-009-1528-4	0932-0113
10.1007/s00436-009-1546-2	0932-0113
10.1007/s00436-009-1616-5	0932-0113
10.1007/s00436-009-1639-y	0932-0113
10.1007/s00436-009-1646-z	0932-0113
10.1007/s00436-009-1658-8	0932-0113
10.1007/s00436-009-1679-3	0932-0113
10.1007/s00436-010-1745-x	0932-0113
10.1007/s00436-010-1811-4	0932-0113
10.1007/s00436-010-1898-7	0932-0113
10.1007/s00436-010-1941-8	0932-0113
10.1007/s00436-010-1953-4	0932-0113
10.1007/s00436-010-1996-6	0932-0113
10.1007/s00436-010-2018-4	0932-0113
10.1007/s00436-010-2054-0	0932-0113
10.1007/s00436-010-2071-z	0932-0113
10.1007/s00436-010-2095-4	0932-0113
10.1007/s00436-010-2138-x	0932-0113
10.1007/s00436-010-2152-z	0932-0113
10.1007/s00436-010-2174-6	0932-0113
10.1007/s00436-010-2204-4	0932-0113
10.1007/s00436-010-2232-0	0932-0113
10.1007/s00436-011-2312-9	0932-0113
10.1007/s00436-011-2342-3	0932-0113
10.1007/s00436-011-2436-y	0932-0113
10.1007/s00436-011-2475-4	0932-0113
10.1007/s00436-011-2536-8	0932-0113
10.1007/s00436-011-2656-1	0932-0113
10.1007/s00436-011-2713-9	0932-0113
10.1007/s00436-011-2773-x	0932-0113
10.1007/s00436-012-2850-9	0932-0113
10.1007/s00436-012-2853-6	0932-0113
10.1007/s00436-012-2886-x	0932-0113
10.1007/s00436-012-2910-1	0932-0113
10.1007/s00436-012-2937-3	0932-0113
10.1007/s00436-012-2938-2	0932-0113
10.1007/s00436-012-3019-2	0932-0113
10.1007/s00436-012-3126-0	0932-0113
10.1007/s00436-012-3148-7	0932-0113
10.1007/s00436-012-3152-y	0932-0113
10.1007/s00436-012-3162-9	0932-0113
10.1007/s00436-012-3190-5	0932-0113
10.1007/s00436-012-3193-2	0932-0113
